time,ch1,ch2,ch3
1,3.3,3.12,3.3
3,3.3,3.3,3.3
5,3.3,3.3,3.3
7,3.3,3.3,3.09
9,3.3,3.3,2.96
11,3.3,3.3,3.05
13,3.3,3.19,3.18
15,3.11,1.02,3.24
17,2.97,0.82,3.26
19,3.04,1.84,3.07
21,3.18,3.21,2.99
23,3.3,3.3,3.04
25,3.3,3.3,3.12
27,3.3,3.3,3.02
29,3.3,3.3,3.26
31,3.3,3.3,3.15
33,3.3,3.08,3.11
35,2.23,0.85,3.18
37,2.17,0.53,3.3
39,2.27,1.71,3.27
41,2.55,3.25,3.3
43,2.73,3.3,3.24
45,3.3,3.3,3.2
47,3.3,3.3,3.27
49,3.3,3.3,3.25
51,3.3,3.3,3.3
53,3.06,2.83,3.17
55,1.84,0.78,3.3
57,1.75,0.41,3.3
59,2.32,1.68,3.3
61,2.9,3.11,3.3
63,3.3,3.3,3.3
65,3.3,3.3,3.3
67,3.3,3.3,3.26
69,3.3,3.3,3.12
71,3.3,3.3,3.24
73,3.26,3.04,3.22
75,1.84,0.95,3.3
77,1.49,0.56,3.3
79,1.73,1.58,3.3
81,2.06,2.96,3.3
83,2.36,3.3,3.3
86,2.93,3.3,3.3
87,3.3,3.3,3.3
89,3.3,3.3,3.3
91,3.3,3.3,3.3
93,2.26,2.9,3.3
95,0.89,0.78,3.3
97,1.27,0.34,3.3
99,1.79,1.87,3.3
101,2.56,3.29,3.3
103,3.3,3.3,3.3
105,3.3,3.3,3.3
107,3.3,3.3,3.3
109,3.3,3.3,3.3
111,3.3,3.3,3.3
113,3.3,2.93,3.3
115,1.95,0.74,3.3
117,2.13,0.14,3.3
119,2.61,1.73,3.3
121,3.3,3.3,3.3
123,3.3,3.3,3.3
125,3.3,3.3,3.3
128,3.3,3.3,3.3
130,3.3,3.3,3.3
132,3.3,3.3,3.28
133,3.3,2.88,3.3
135,3.3,0.94,3.3
137,3.3,0.69,3.3
139,3.3,2.38,3.3
141,3.3,3.3,3.29
143,3.3,3.3,3.3
145,3.3,3.3,3.3
147,3.3,3.3,3.3
149,3.3,3.3,3.28
151,3.3,3.3,3.3
153,3.3,3.03,3.3
155,3.3,1.09,3.3
157,3.06,0.97,3.3
159,2.15,2.24,3.3
161,1.47,3.3,3.3
163,0.75,3.3,3.3
165,0.83,3.3,3.3
167,1.67,3.3,3.3
169,1.83,3.3,3.3
172,0.76,3.3,3.3
174,0,2.74,3.3
176,0,0.9,3.3
178,0,0.7,3.3
179,0,2.25,3.3
181,0,3.3,3.3
183,0,3.3,3.3
185,0.5,3.3,3.3
187,2.23,3.3,3.3
189,2.75,3.3,3.3
191,2.69,3.3,3.3
193,1.64,2.5,3.3
195,0.65,0.71,3.3
197,0.86,0.35,3.3
199,1.61,2.12,3.3
201,2.49,3.3,3.3
203,3.3,3.3,3.3
205,3.3,3.3,3.3
207,3.3,3.3,3.3
209,3.3,3.3,3.3
211,3.3,3.3,3.3
214,3.3,2.3,3.3
216,2.47,0.47,3.3
218,2.12,0.26,3.3
220,2.26,1.73,3.3
222,2.6,3.16,3.3
223,2.94,3.3,3.3
225,3.22,3.3,3.3
227,3.3,3.3,3.3
229,3.3,3.3,3.3
231,3.3,3.3,3.3
233,1.82,2.27,3.3
235,0.5,0.5,3.3
237,0.89,0.59,3.3
239,1.57,2.32,3.3
241,2.26,3.3,3.3
243,2.93,3.3,3.3
245,3.3,3.3,3.3
247,3.3,3.3,3.3
249,3.3,3.3,3.3
251,3.3,3.3,3.3
253,3.3,2.32,3.3
256,3.3,0.63,3.3
258,3.3,0.58,3.3
260,3.3,2.13,3.3
262,3.3,3.22,3.3
264,3.3,3.3,3.3
266,3.3,3.3,3.3
268,3.3,3.3,3.3
269,3.3,3.3,3.3
271,3.3,3.3,3.3
273,3.3,1.98,3.3
275,3.3,0.26,3.3
277,3.3,0.29,3.3
279,3.3,1.78,3.3
281,3.3,2.92,3.3
283,3.3,3.3,3.3
285,3.3,3.3,3.3
287,3.3,3.3,3.3
289,3.3,3.3,3.3
291,3.3,3.3,3.3
293,3.3,1.87,3.3
295,3.03,0.22,3.3
297,2.79,0.3,3.3
300,3.14,2.06,3.3
302,3.3,3.27,3.3
304,3.3,3.3,3.3
306,3.3,3.3,3.3
308,3.3,3.3,3.3
310,3.3,3.3,3.3
312,3.3,3.3,3.3
314,2.79,2.05,3.3
315,1.44,0.37,3.3
317,1.55,0.67,3.3
319,1.66,2.39,3.28
321,1.77,3.3,3.29
323,2.47,3.3,3.3
325,3.22,3.3,3.3
327,3.3,3.3,3.03
329,3.3,3.3,3.19
331,3.3,3.3,3.3
333,1.75,2.01,3.19
335,0.76,0.63,3
337,1.08,0.75,3
339,1.48,2.42,2.98
342,2.03,3.3,3.11
344,2.68,3.3,3.23
346,3.08,3.3,3.12
348,3.3,3.3,3.02
350,3.3,3.3,3.06
352,2.56,3.3,3.23
354,0.77,1.99,3.3
356,0,0.56,3.15
358,0,0.78,2.97
359,0,2.55,3.11
361,0,3.3,3.19
363,0.52,3.3,3.2
365,1.75,3.3,3.23
367,3.2,3.3,3.3
369,2.77,3.3,3.05
371,2.27,3.3,3.24
373,0.86,2.09,3.3
375,0,0.53,3.3
377,0.05,0.74,3.3
379,0.77,2.42,3.3
381,1.59,3.3,3.3
384,2.37,3.3,3.3
386,3.06,3.3,3.3
388,3.3,3.3,3.15
390,3.3,3.3,3.22
392,3.3,3.3,3.3
394,1.99,2.18,3.3
396,1.26,0.62,3.3
398,1.45,0.67,3.3
400,1.75,2.74,3.3
402,2.36,3.3,3.3
404,3.04,3.3,3.3
405,3.3,3.3,3.3
407,3.3,3.3,3.3
409,3.3,3.3,3.3
411,3.3,3.3,3.24
413,2.69,1.73,3.15
415,1.65,0.41,3.26
417,2.05,1.03,3.3
419,2.4,2.51,3.21
421,2.82,3.3,3.18
423,3.23,3.3,3.2
425,3.3,3.3,3.19
428,3.3,3.3,3.05
430,3.3,3.3,3.06
432,3.3,3.3,3.28
434,1.74,1.66,3.3
436,0.74,0.34,3.3
438,0.98,0.97,3.3
440,1.3,2.66,3.3
442,1.98,3.3,3.3
444,2.45,3.3,3.3
446,3.22,3.3,3.3
448,3.3,3.3,3.3
450,3.3,3.3,3.3
452,2.4,3.3,3.3
453,0.63,1.56,3.3
455,0,0.41,3.3
457,0,0.98,3.3
459,0.51,2.6,3.3
461,0.81,3.3,3.3
463,1.33,3.3,3.3
465,2.31,3.3,3.3
467,3.3,3.3,3.3
470,3.01,3.3,3.3
472,2.13,3.3,3.3
474,0.38,1.45,3.3
476,0,0.15,3.3
478,0.25,0.75,2.86
480,0.96,2.53,2.49
482,1.69,3.3,2.53
484,2.36,3.3,2.54
486,3.19,3.3,2.36
488,3.3,3.3,2.32
490,3.3,3.3,2.37
492,3.25,3.3,2.69
494,1.5,1.35,2.84
496,0.71,0,2.85
497,1.25,0.76,2.7
499,2.16,2.56,2.94
501,2.81,3.3,2.96
503,3.3,3.3,2.92
505,3.3,3.3,2.78
507,3.3,3.3,2.86
509,3.3,3.3,2.93
512,3.3,3.3,3.09
514,3.04,1.38,3.14
516,2.49,0.17,3.3
518,3.12,0.95,3.3
520,3.3,2.5,3.3
522,3.3,3.3,3.3
524,3.3,3.3,3.3
526,3.3,3.3,3.3
528,3.3,3.3,3.3
530,3.3,3.3,3.3
532,3.3,3.3,3.3
534,2.69,1.31,3.3
536,1.87,0.22,3.3
538,2.22,0.86,3.3
539,2.78,2.59,3.3
541,2.91,3.3,3.28
543,3.04,3.3,3.29
545,3.3,3.3,3.1
547,3.3,3.3,2.97
549,3.3,3.3,2.91
551,3.03,3.3,3.05
553,1.45,1.41,3.19
556,0.65,0.11,3.17
558,0.84,0.83,3.06
560,1.4,2.68,3.3
562,1.92,3.3,3.3
564,2.63,3.3,3.3
566,3.3,3.3,2.95
568,3.3,3.3,2.92
570,3.3,3.3,3.06
572,3.25,3.3,3.3
574,1.74,1.1,3.3
576,1.31,0.09,3.13
578,1.71,1.05,3.14
580,2.31,2.75,3.26
582,2.66,3.3,3.27
583,3.14,3.3,3.3
585,3.3,3.3,3.3
587,3.3,3.3,3.12
589,3.3,3.3,2.75
591,3.3,3.3,2.63
593,1.95,1.05,2.92
595,1.5,0.27,3.09
598,2.22,1,3.14
600,3.15,2.56,2.89
602,3.3,3.3,2.8
604,3.3,3.3,3.09
606,3.3,3.3,3
608,3.3,3.3,2.92
610,3.3,3.3,3.06
612,3.3,3.3,3.3
614,1.76,1.01,3.29
616,1.45,0.22,3.3
618,2.19,1.36,3.3
620,2.82,2.91,3.3
622,3.3,3.3,3.3
624,3.3,3.3,3.3
626,3.3,3.3,3.3
628,3.3,3.3,3.3
630,3.3,3.3,3.3
632,3.3,3.22,3.3
633,2.33,0.93,3.28
635,2.29,0.31,3.3
637,2.6,1.16,3.3
640,3.08,2.82,3.24
642,3.3,3.3,3.27
644,3.3,3.3,3.3
646,3.3,3.3,3.3
648,3.3,3.3,3.3
650,3.3,3.3,2.49
652,3.3,3.3,2.83
654,2.44,1.16,3.3
656,1.89,0.55,3.25
658,2.13,1.59,2.74
660,2.73,2.95,2.62
662,3.3,3.3,2.85
664,3.3,3.3,3.08
666,3.3,3.3,2.72
668,3.3,3.3,1.93
670,3.3,3.3,2.45
672,3.3,3.3,2.71
674,1.49,0.95,2.8
676,0.78,0.43,3.05
677,1,1.53,3.16
679,1.74,3.3,3.3
681,2.49,3.3,3.3
684,3.17,3.3,1.73
686,3.3,3.3,1.69
688,3.3,3.3,2.67
690,3.3,3.3,2.94
692,3.17,3.16,2.9
694,1.73,0.82,2.73
696,1.48,0.27,2.82
698,1.7,1.35,2.83
700,1.95,2.85,2.79
702,2.4,3.3,2.96
704,3.23,3.3,2.9
706,3.3,3.3,3.19
708,3.3,3.3,3.3
710,3.3,3.3,2.58
712,3.05,3.04,2.25
714,1.45,0.66,2.24
716,1.33,0.12,2.5
718,1.73,1.2,2.4
720,2.17,2.75,2.45
722,2.91,3.3,2.51
723,3.3,3.3,2.4
726,3.3,3.3,2.42
728,3.3,3.3,2.5
730,3.3,3.3,2.5
732,3.07,2.77,2.48
734,1.67,0.54,2.55
736,1.71,0.19,2.64
738,2.21,1.43,2.68
740,2.62,2.8,2.71
742,2.9,3.3,2.86
744,3.3,3.3,2.92
